,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
262,"Bosch Group
4.2",Data Scientist,Bangalore,#N/A,"₹6,78,615 /yr (est.)",10000+ Employees,#N/A,Manufacturing,Consumer Product Manufacturing,1886,$10+ billion (USD)
263,"SmartInternz
4.0",Machine Learning Engineer Intern,Remote,#N/A,"₹1,38,000 /mo (est.)",51 to 200 Employees,#N/A,#N/A,#N/A,#N/A,Unknown / Non-Applicable
264,"Apple
4.2",Machine Learning Engineer,Hyderābād,#N/A,#N/A,10000+ Employees,#N/A,Information Technology,Computer Hardware Development,1976,$10+ billion (USD)
265,Stackapps IT Services Pvt Ltd,Data Scientist,Hyderābād,#N/A,"₹6,50,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
266,Vikatan Group,Data Scientist,India,#N/A,"₹3,90,000 /mo (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
267,"TMF Group
3.9",Data Scientist,Bangalore,#N/A,"₹7,60,313 /yr (est.)",5001 to 10000 Employees,#N/A,Management & Consulting,Business Consulting,1988,$500 million to $1 billion (USD)
268,Predictive Research,"Machine learning, Machine Engineer",Bangalore,#N/A,"₹4,20,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
269,"Talent Corner HR Services Pvt. Ltd.
3.4",Ai/ML Engineer,Bangalore,#N/A,"₹10,00,000 /yr (est.)",201 to 500 Employees,#N/A,Management & Consulting,Business Consulting,2002,Unknown / Non-Applicable
270,NeuranceAI Technologies Private Limited,Machine Learning Engineer,Bangalore,#N/A,"₹6,00,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
271,"Samsung Electro-Mechanics
3.5",Machine Learning Engineer,Bangalore,#N/A,"₹12,00,000 /mo (est.)",1001 to 5000 Employees,#N/A,Information Technology,Computer Hardware Development,1938,$10+ billion (USD)
272,Videoverse,AI/ML Engineer,Indore,#N/A,"₹5,00,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
273,"Rolls-Royce
3.8",Data Scientist,Bangalore,#N/A,"₹7,84,210 /yr (est.)",10000+ Employees,#N/A,Aerospace & Defence,Aerospace & Defence,1906,$10+ billion (USD)
274,"Shell
4.1",Associate Data Scientist,Chennai,#N/A,"₹6,95,941 /yr (est.)",10000+ Employees,#N/A,"Energy, Mining, Utilities",Energy & Utilities,1907,$10+ billion (USD)
275,InTechHub Solutions,AI/ML Engineer,Remote,#N/A,"₹8,00,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
276,"Codiant
3.6",Python/ Machine Learning Engineer (0.6-4 Years),Indore,#N/A,"₹3,85,867 /yr (est.)",51 to 200 Employees,#N/A,#N/A,#N/A,#N/A,Unknown / Non-Applicable
277,"Xtage Labs
3.7",Data Scientists,India,#N/A,#N/A,1 to 50 Employees,#N/A,#N/A,#N/A,#N/A,Unknown / Non-Applicable
278,HireQuotient,Machine Learning Engineer,Bangalore,#N/A,"₹17,50,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
279,"Hitachi India Pvt, Ltd.
3.8",Junior Data Scientist (Computer Vision),Bangalore,#N/A,"₹4,46,269 /yr (est.)",10000+ Employees,#N/A,Information Technology,Enterprise Software & Network Solutions,1910,$10+ billion (USD)
280,"Accenture
4.1",Industry X - Software Engineering - Data Science - 11,Bangalore,#N/A,#N/A,10000+ Employees,#N/A,Management & Consulting,Business Consulting,1989,$10+ billion (USD)
281,Predictive Research,Machine Learning Engineer and Big data Engineer,Bangalore,#N/A,"₹3,60,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
282,"GLOBAL TECHNOLOGIES
3.6","NLP, Machine Learning",Bangalore,#N/A,"₹10,79,323 /yr (est.)",1 to 50 Employees,#N/A,Telecommunications,Telecommunications Services,#N/A,$1 to $5 million (USD)
283,"Microsoft
4.4",Data and Applied Scientist II,Bangalore,#N/A,"₹6,94,326 /yr (est.)",10000+ Employees,#N/A,Information Technology,Computer Hardware Development,1975,$10+ billion (USD)
284,GWC Technologies,Data Scientist,Bangalore,#N/A,"₹11,09,024 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
285,"Mercedes-Benz Research and Development India Private Limited
4.1",Camera Algorithm Development (Deep Learning) - Engineer,Bangalore,#N/A,"₹8,03,028 /yr (est.)",10000+ Employees,#N/A,Manufacturing,Transportation Equipment Manufacturing,1886,Unknown / Non-Applicable
286,"Orcapod
3.5",Data Scientist,Bangalore,#N/A,"₹8,50,000 /yr (est.)",201 to 500 Employees,#N/A,Management & Consulting,Business Consulting,2010,Unknown / Non-Applicable
287,"Oracle
3.9",Machine Learning Engineer,Bangalore,#N/A,"₹7,67,118 /yr (est.)",10000+ Employees,#N/A,Information Technology,Enterprise Software & Network Solutions,1977,$10+ billion (USD)
288,"Accenture
4.1",Python Programming Language Data Science Practitioner,Hyderābād,#N/A,#N/A,10000+ Employees,#N/A,Management & Consulting,Business Consulting,1989,$10+ billion (USD)
289,"Tesco
3.7",Applied Data Scientist,Bangalore,#N/A,"₹5,68,922 /yr (est.)",10000+ Employees,#N/A,Retail & Wholesale,Grocery Stores,1919,Unknown / Non-Applicable
290,Deets Digital,Data Scientist,Bangalore,#N/A,"₹15,00,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
291,"Google
4.5","Data Scientist, Business and Marketing",Bangalore,#N/A,#N/A,10000+ Employees,#N/A,Information Technology,Internet & Web Services,1998,$10+ billion (USD)
292,Predictive Research,"Machine learning, Machine Engineer",Bangalore,#N/A,"₹4,20,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
293,"Apple
4.2",Machine Learning Engineer,Hyderābād,#N/A,#N/A,10000+ Employees,#N/A,Information Technology,Computer Hardware Development,1976,$10+ billion (USD)
294,Stackapps IT Services Pvt Ltd,Data Scientist,Hyderābād,#N/A,"₹6,50,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
295,"Talent Corner HR Services Pvt. Ltd.
3.4",Ai/ML Engineer,Bangalore,#N/A,"₹10,00,000 /yr (est.)",201 to 500 Employees,#N/A,Management & Consulting,Business Consulting,2002,Unknown / Non-Applicable
296,"Vehant Technologies
4.3",Machine Learning Engineer,Noida,#N/A,"₹4,67,095 /yr (est.)",201 to 500 Employees,#N/A,Management & Consulting,Security & Protective,2005,$100 to $500 million (USD)
297,"TMF Group
3.9",Data Scientist,Bangalore,#N/A,"₹7,60,313 /yr (est.)",5001 to 10000 Employees,#N/A,Management & Consulting,Business Consulting,1988,$500 million to $1 billion (USD)
298,"Bosch Group
4.2",Data Scientist,Bangalore,#N/A,"₹6,78,615 /yr (est.)",10000+ Employees,#N/A,Manufacturing,Consumer Product Manufacturing,1886,$10+ billion (USD)
299,ZigUp,Computer Vision Engineer(7-14LPA),India,#N/A,"₹10,50,000 /yr (est.)",Unknown,#N/A,#N/A,#N/A,#N/A,Unknown / Non-Applicable
